agent_id,delta,kappa,initial_wealth,capacity,final_net,final_gross,net_return,gross_return,gross_return_comp,turnover,trade_count,num_lots_opened,mean_cash_weight,portfolio_vol,hhi,costs_paid,volume_mid,mean_portfolio_value,spread_cost,commission_cost,position_days_in_gain,position_days_in_loss,position_days_neutral,sells_from_gain,sells_from_loss,sells_from_neutral,sale_days,mean_holding_winners,mean_holding_losers,median_holding_winners,median_holding_losers,G_r_full,G_p_full,L_r_full,L_p_full,G_r_frac,G_p_frac,L_r_frac,L_p_frac,G_r,G_p,L_r,L_p,cell_A_rebote_bajo_agua_opp,cell_A_rebote_bajo_agua_sell,cell_B_ganadora_infraponderada_opp,cell_B_ganadora_infraponderada_sell,cell_C_perdedora_sobreponderada_opp,cell_C_perdedora_sobreponderada_sell
617,0.0,0.0,109207.43548608334,30,86863.00466857434,87862.29786134239,-0.20460539814027978,-0.1954549846329926,-0.19650305833605908,2.8030903328391226,442,195,0.004377624274689025,0.15501551227781424,0.04868453109140901,999.2931927680196,1114586.3855360385,99406.92710455078,557.2931927680193,442.0,6115.0,9002.0,0.0,86.0,131.0,0.0,180,83.20360189427512,87.33153244588712,59.76093673706055,71.0,86.0,2058.0,131.0,3124.0,54.25,2089.75,86.75,3168.25,86.0,2058.0,131.0,3124.0,1765.0,36.0,2728.0,36.0,2797.0,44.0
618,0.0,0.0,94110.18051121518,17,76985.96652932328,77739.8126705893,-0.18195920875798544,-0.1739489580372765,-0.17482565889491042,2.8490862722907426,257,119,0.005040628466585695,0.16466580690442512,0.08624059801563035,753.8461412660203,993692.2825320408,87193.94461624054,496.8461412660204,257.0,3781.0,4787.0,0.0,54.0,67.0,0.0,106,95.46152779952018,90.95960205088411,71.43204498291016,75.0,54.0,770.0,67.0,911.0,32.75,791.25,44.75,933.25,54.0,770.0,67.0,911.0,833.0,13.0,1690.0,22.0,1472.0,18.0
619,0.0,0.0,34383.45836578541,11,29306.101224495444,29694.683454119753,-0.14766859945485844,-0.1363671699857686,-0.13765096178735792,2.910490925041521,195,94,0.005482202528011658,0.16480359022591157,0.1250187668368143,388.58222962434354,387164.4592486871,33255.941112680484,193.58222962434354,195.0,2284.0,3258.0,0.0,35.0,55.0,0.0,82,75.5914967800282,73.46008190983223,73.9571304321289,40.38041305541992,35.0,339.0,55.0,472.0,25.0,349.0,32.25,494.75,35.0,339.0,55.0,472.0,658.0,11.0,831.0,11.0,1055.0,17.0
620,0.0,0.0,61201.83746962805,29,51906.872619601054,52807.36278976828,-0.1518739507558038,-0.13716050084322384,-0.13857133284862244,3.5785793538113833,484,214,0.003956389423640308,0.16906933206003033,0.05083265875655557,900.4901701672336,832980.340334468,58192.11047026932,416.49017016723406,484.0,6279.0,8333.0,0.0,106.0,135.0,0.0,188,76.67030814666641,83.44217792591706,64.5,71.0,106.0,2202.0,135.0,3007.0,73.25,2234.75,94.5,3047.5,106.0,2202.0,135.0,3007.0,1735.0,23.0,2570.0,45.0,1774.0,35.0
621,0.0,0.0,38514.03132292663,25,34203.36334658457,34798.01896808718,-0.11192461106443585,-0.09648463760342296,-0.09750184937466755,2.8426176089612283,384,174,0.003367610857170306,0.16843930320958245,0.071095980570956,594.6556215026287,421311.2430052578,37053.10570766645,210.6556215026289,384.0,4973.0,7623.0,0.0,74.0,111.0,0.0,161,88.18103097768484,98.1170632523863,70.04081726074219,65.0,74.0,1455.0,111.0,2382.0,54.5,1474.5,70.75,2422.25,74.0,1455.0,111.0,2382.0,1644.0,20.0,2369.0,35.0,1773.0,25.0
622,0.0,0.0,59800.64174291591,7,54146.95674939459,54768.705949686264,-0.09454221273789376,-0.08414518049592234,-0.08549388709216843,3.7387649990626874,150,77,0.004379933963015028,0.18168219742124384,0.18641752822230362,621.7492002917065,943498.4005834127,63088.90775563246,471.74920029170636,150.0,1874.0,1654.0,0.0,32.0,34.0,0.0,63,64.90998882214807,61.45277269380937,46.5,34.5,32.0,196.0,34.0,179.0,19.75,208.25,24.5,188.5,32.0,196.0,34.0,179.0,296.0,5.0,1014.0,16.0,453.0,13.0
623,0.0,0.0,142900.6853156453,23,127655.8094825068,128968.0814716367,-0.10668161457354075,-0.09749850963439155,-0.0981154923903681,3.3263012646313075,392,179,0.005204122928410251,0.1608264195676401,0.0642414892133057,1312.2719891300208,1840543.9782600428,138332.62773208634,920.2719891300214,392.0,5222.0,6370.0,0.0,76.0,114.0,0.0,160,66.6915505473843,78.32931605748853,56.735233306884766,47.712493896484375,76.0,1558.0,114.0,1932.0,51.75,1582.25,79.5,1966.5,76.0,1558.0,114.0,1932.0,1241.0,23.0,2296.0,33.0,1566.0,29.0
624,0.0,0.0,301659.48652231327,29,255748.67849981922,258198.66191129753,-0.15219414629315198,-0.14407246101243032,-0.14481368432837172,3.40796888025696,505,238,0.0031540104157828006,0.15679942454398055,0.04587755085030198,2449.9834114785435,3889966.8229570882,285358.1531724393,1944.9834114785442,505.0,6670.0,7946.0,0.0,111.0,127.0,0.0,189,71.67495204573824,82.1378083992395,48.062583923339844,60.18252182006836,111.0,2333.0,127.0,2910.0,73.5,2370.5,96.0,2941.0,111.0,2333.0,127.0,2910.0,1564.0,23.0,2687.0,47.0,1727.0,32.0
625,0.0,0.0,62106.486039655494,27,49092.35372879752,49867.768555050185,-0.2095454620077578,-0.19706021488304437,-0.19875723766449827,2.956112103813602,431,198,0.003846294868161137,0.16029882936944187,0.05441922497740294,775.4148262527049,688829.6525054101,58254.696398080545,344.4148262527051,431.0,5118.0,8489.0,0.0,84.0,122.0,0.0,174,73.82723128286067,91.09480356432019,62.694923400878906,71.20272827148438,84.0,1717.0,122.0,2774.0,60.5,1740.5,80.75,2815.25,84.0,1717.0,122.0,2774.0,1645.0,26.0,1879.0,33.0,2172.0,31.0
626,0.0,0.0,189172.05213092198,29,158733.16779860403,160010.8281506595,-0.1609058208622267,-0.1541518615026738,-0.1548449099427962,2.410457828027871,418,187,0.0029385233189599567,0.16045628026046263,0.057634120012586255,1277.6603520556469,1719320.704111293,178318.89487130797,859.6603520556465,418.0,5785.0,8831.0,0.0,81.0,121.0,0.0,167,93.99368166827217,110.3577811911238,78.6227798461914,90.0,81.0,1933.0,121.0,2708.0,52.25,1961.75,74.25,2754.75,81.0,1933.0,121.0,2708.0,1870.0,27.0,2819.0,42.0,2554.0,22.0
