agent_id,delta,kappa,initial_wealth,capacity,final_net,final_gross,net_return,gross_return,gross_return_comp,turnover,trade_count,num_lots_opened,mean_cash_weight,portfolio_vol,hhi,costs_paid,volume_mid,mean_portfolio_value,spread_cost,commission_cost,position_days_in_gain,position_days_in_loss,position_days_neutral,sells_from_gain,sells_from_loss,sells_from_neutral,sale_days,mean_holding_winners,mean_holding_losers,median_holding_winners,median_holding_losers,G_r_full,G_p_full,L_r_full,L_p_full,G_r_frac,G_p_frac,L_r_frac,L_p_frac,G_r,G_p,L_r,L_p,cell_A_rebote_bajo_agua_opp,cell_A_rebote_bajo_agua_sell,cell_B_ganadora_infraponderada_opp,cell_B_ganadora_infraponderada_sell,cell_C_perdedora_sobreponderada_opp,cell_C_perdedora_sobreponderada_sell
307,0.0,0.0,119071.97876406138,8,208729.5544209859,208966.3646417591,0.7529695616680656,0.7549583605713108,0.75552003980022,0.6279025557774539,37,18,0.006524436328571755,0.17239620962332103,0.1239168596642533,236.8102207732412,399620.4415464825,159109.25902016836,199.81022077324124,37.0,3410.0,622.0,0.0,11.0,0.0,0.0,11,259.7955146995593,,263.0,,11.0,68.0,0.0,9.0,1.5051170469860562,77.49488295301394,0.0,9.0,11.0,68.0,0.0,9.0,130.0,0.0,9.0,0.0,0.0,0.0
308,0.0,0.0,460225.17785068107,24,1001857.3631918365,1003050.634947237,1.1768851671059308,1.1794779669196505,1.1804803701176332,0.7579476781434035,145,66,0.0058403928945360605,0.17735271032534272,0.041377962716496394,1193.2717554009746,2096543.5108019484,691519.8671554222,1048.2717554009741,145.0,10846.0,1250.0,0.0,53.0,2.0,0.0,53,228.40502645742143,85.05325815610755,216.8516387939453,85.05325317382812,53.0,1117.0,2.0,100.0,8.466790323729256,1161.5332096762706,0.272090922788527,101.72790907721148,53.0,1117.0,2.0,100.0,279.0,1.0,108.0,0.0,2.0,2.0
309,0.0,0.0,32409.434053352074,25,63546.777232937915,63794.60284735087,0.960749364778412,0.9683960769673687,0.9715465342208396,0.8537212890570168,169,68,0.011108965756044841,0.1690428372353428,0.03929636343876073,247.82561441296454,157651.2288259294,46165.894785189215,78.8256144129647,169.0,11018.0,1582.0,0.0,66.0,10.0,0.0,69,205.41712029053494,75.92707415243042,197.28164672851562,72.80526733398438,66.0,1471.0,10.0,178.0,11.11087816875294,1525.889121831247,2.262248789906419,185.73775121009356,66.0,1471.0,10.0,178.0,308.0,0.0,46.0,0.0,10.0,10.0
310,0.0,0.0,39076.953634664926,23,77393.28482792803,77651.46090037936,0.9805352677050272,0.9871421305343318,0.9900567633035287,0.8807245880053356,160,64,0.010225993687116117,0.17324440238903774,0.04278783562070487,258.176072451351,196352.14490270196,55735.966605462934,98.17607245135098,160.0,9787.0,1805.0,0.0,59.0,14.0,0.0,68,220.86686756519288,59.98854776126594,224.76319885253906,55.06517028808594,59.0,1196.0,14.0,295.0,9.69543155853668,1245.3045684414633,3.6921160735738914,305.3078839264261,59.0,1196.0,14.0,295.0,381.0,0.0,33.0,0.0,14.0,14.0
311,0.0,0.0,196209.83073342056,24,406198.6459036069,406836.0152506884,1.0702257597657607,1.0734741665591363,1.0747356405503483,0.8157884269263181,158,65,0.009951787527450195,0.1738198035074922,0.04101999463024869,637.3693470816271,958738.6941632545,293807.3961699654,479.36934708162727,158.0,10590.0,1506.0,0.0,63.0,6.0,0.0,66,196.76467791927251,73.96393254442204,174.0,77.88648223876953,63.0,1358.0,6.0,157.0,10.644811991913688,1410.355188008086,1.2320159860027924,161.7679840139972,63.0,1358.0,6.0,157.0,310.0,0.0,48.0,0.0,6.0,6.0
312,0.0,0.0,10397.634435557417,13,21489.58693314172,21585.526421690796,1.0667765409844074,1.076003590573782,1.0800041584511995,0.7240043948634903,74,28,0.012021742216846616,0.1819079881556025,0.07544985103324983,95.93948854908514,43878.97709817035,15151.488516324423,21.939488549085173,74.0,5639.0,913.0,0.0,31.0,2.0,0.0,33,248.6280767495742,153.1696135701353,213.7247314453125,153.16961669921875,31.0,357.0,2.0,39.0,4.3850893782588285,383.61491062174116,0.2800409130399498,40.719959086960046,31.0,357.0,2.0,39.0,181.0,1.0,38.0,0.0,2.0,2.0
313,0.0,0.0,19718.014318863883,16,36451.09006617586,36572.85721749643,0.8486187035224804,0.8547941301831701,0.8571710542443587,0.6836256767434501,85,37,0.006744180225390893,0.15949175550409214,0.061924418517438684,121.76715132057119,73534.30264114233,26891.289028022482,36.767151320571166,85.0,6893.0,1171.0,0.0,29.0,3.0,0.0,31,216.4219192519742,101.659424582423,210.75831604003906,95.58464050292969,29.0,397.0,3.0,67.0,4.108170546944871,421.8918294530551,0.4222629258485907,69.57773707415141,29.0,397.0,3.0,67.0,221.0,1.0,48.0,0.0,3.0,3.0
314,0.0,0.0,83528.26517964159,22,158061.99215523788,158361.7354434933,0.892317430696052,0.8959059559408991,0.897346154126561,0.7414476973953879,134,61,0.005259711624438184,0.16462575381283015,0.045168060517783375,299.74328825541835,331486.57651083684,111770.04719122715,165.74328825541843,134.0,8708.0,2380.0,0.0,45.0,6.0,0.0,50,219.2050787578632,97.70017246306067,221.75534057617188,92.98802185058594,45.0,814.0,6.0,235.0,6.496257049801705,852.5037429501982,1.218827507811116,239.78117249218892,45.0,814.0,6.0,235.0,555.0,0.0,49.0,0.0,6.0,6.0
315,0.0,0.0,37833.312437287546,11,86330.88213250754,86474.61875385568,1.2818747968634656,1.2856740048124498,1.287260792909385,0.715273844692494,60,26,0.009797298792169725,0.19177141917985807,0.08954196055745064,143.73662134817602,167473.242696352,58534.659116590185,83.736621348176,60.0,5212.0,332.0,0.0,23.0,0.0,0.0,23,259.90198696373494,,252.0662384033203,,23.0,222.0,0.0,8.0,3.3223425369549875,241.67765746304502,0.0,8.0,23.0,222.0,0.0,8.0,43.0,0.0,57.0,0.0,0.0,0.0
316,0.0,0.0,88227.24845574604,7,158421.04170643984,158616.21445650482,0.7956022031663192,0.7978143627143175,0.7985569004258828,0.6735103718027732,39,18,0.0059770170830603635,0.17017942605605346,0.14180791793827766,195.1727500649874,312345.5001299748,115939.38015160969,156.1727500649874,39.0,2599.0,929.0,0.0,12.0,2.0,0.0,14,219.3507895901813,128.17754198637618,216.5,128.17755126953125,12.0,60.0,2.0,24.0,1.6318283936297358,70.36817160637028,0.2799439810085441,25.720056018991457,12.0,60.0,2.0,24.0,222.0,1.0,6.0,0.0,2.0,2.0
