agent_id,delta,kappa,initial_wealth,capacity,final_net,final_gross,net_return,gross_return,gross_return_comp,turnover,trade_count,num_lots_opened,mean_cash_weight,portfolio_vol,hhi,costs_paid,volume_mid,mean_portfolio_value,spread_cost,commission_cost,position_days_in_gain,position_days_in_loss,position_days_neutral,sells_from_gain,sells_from_loss,sells_from_neutral,sale_days,mean_holding_winners,mean_holding_losers,median_holding_winners,median_holding_losers,G_r_full,G_p_full,L_r_full,L_p_full,G_r_frac,G_p_frac,L_r_frac,L_p_frac,G_r,G_p,L_r,L_p,cell_A_rebote_bajo_agua_opp,cell_A_rebote_bajo_agua_sell,cell_B_ganadora_infraponderada_opp,cell_B_ganadora_infraponderada_sell,cell_C_perdedora_sobreponderada_opp,cell_C_perdedora_sobreponderada_sell
223,0.942175265279846,0.0,202617.76999077076,14,156188.786969981,156727.13129791172,-0.2291456619175336,-0.22648871663600556,-0.2269651410539053,1.2863635432412068,79,40,0.001327434803352295,0.18411835838607696,0.10665893578059256,538.3443279307268,918688.6558614533,178543.74462966053,459.34432793072665,79.0,858.0,6198.0,0.0,22.0,3.0,0.0,23,92.30828738333696,148.50494332330365,47.0,159.51483154296875,22.0,83.0,3.0,214.0,16.0,89.0,1.75,215.25,22.0,83.0,3.0,214.0,1624.0,2.0,266.0,4.0,1700.0,0.0
224,0.6714159194446829,0.0,48766.050908121164,30,36900.145078839516,37411.77362469737,-0.2433230825198024,-0.23283159230621497,-0.2340784123250529,2.05658007523763,340,152,0.0029187192539078415,0.17532449281349505,0.04967735346337164,511.6285458578491,343257.0917156982,41726.68692173779,171.6285458578491,340.0,3703.0,11403.0,0.0,96.0,62.0,0.0,134,65.74509382770101,131.92211917210264,47.60595703125,111.5141372680664,96.0,1005.0,62.0,2855.0,60.0,1041.0,46.0,2871.0,96.0,1005.0,62.0,2855.0,2674.0,12.0,1784.0,45.0,3459.0,9.0
225,0.7134232084442964,0.0,17732.471485759765,28,14411.15791272672,14754.393735569709,-0.1873012216994263,-0.1679448774290504,-0.16965686111111455,2.0469403749765287,279,123,0.004022830422032066,0.17654851008210504,0.04863005189485584,343.2358228429942,128471.64568598832,15690.692222466598,64.23582284299417,279.0,3321.0,10771.0,0.0,78.0,50.0,0.0,119,82.91519152689787,135.62245346768475,64.0,133.3332977294922,78.0,854.0,50.0,2344.0,52.75,879.25,36.0,2358.0,78.0,854.0,50.0,2344.0,2575.0,19.0,1307.0,30.0,2904.0,12.0
226,0.7733161793673696,0.0,14099.272222341797,27,11239.19259578911,11563.80642635405,-0.20285299705190352,-0.17982955119981525,-0.18246059736392395,2.231935406999044,269,113,0.004995026091134365,0.1754461875179166,0.04579254172539152,324.61383056495197,111227.66112990382,12458.655924932807,55.61383056495191,269.0,2694.0,10861.0,0.0,93.0,36.0,0.0,111,60.98905329549779,158.35580760679628,34.0,120.89533996582031,93.0,755.0,36.0,2101.0,62.0,786.0,26.25,2110.75,93.0,755.0,36.0,2101.0,2741.0,11.0,1039.0,41.0,3812.0,13.0
227,0.8828518147270749,0.0,60216.0621386728,23,47487.294313116756,47895.29934980919,-0.21138492577350387,-0.20460924130989966,-0.20562956169424818,1.8552611917530752,211,101,0.0023208284291027443,0.1711878638136395,0.05961814955675711,408.00503669244847,394010.073384897,53093.61225475059,197.00503669244853,211.0,1911.0,9681.0,0.0,72.0,15.0,0.0,74,57.44176892730881,164.50233413163625,38.0,111.0,72.0,502.0,15.0,1113.0,51.0,523.0,11.0,1117.0,72.0,502.0,15.0,1113.0,2409.0,5.0,706.0,26.0,2866.0,5.0
228,0.6286075232733997,0.0,455858.10921923845,30,385168.27202445804,387650.4310526926,-0.15506982494147792,-0.14962479944333373,-0.15006459390671423,2.5857944658222034,362,171,0.00297558760695237,0.17727659298669454,0.04571479512197361,2482.1590282348134,4240318.056469632,409962.7902097529,2120.159028234816,362.0,4014.0,11106.0,0.0,94.0,67.0,0.0,139,67.63525822496597,122.54782560817199,55.65129089355469,109.0,94.0,1256.0,67.0,2753.0,71.25,1278.75,44.5,2775.5,94.0,1256.0,67.0,2753.0,2615.0,18.0,1455.0,35.0,3462.0,22.0
229,0.7937263370024567,0.0,129006.81534011857,29,108997.19621621059,109786.12742460289,-0.1551051320130169,-0.1489897093021133,-0.14967029139366406,2.011113590186792,304,149,0.0022775396584884472,0.1796573035835717,0.049538104939372885,788.9312083924065,969862.4167848129,120562.85899479355,484.93120839240646,304.0,3707.0,10909.0,0.0,86.0,40.0,0.0,112,71.60137579108685,136.22932459243447,37.189476013183594,119.17837524414062,86.0,1053.0,40.0,2069.0,56.0,1083.0,29.0,2080.0,86.0,1053.0,40.0,2069.0,2620.0,7.0,1507.0,28.0,3791.0,10.0
230,0.7625276927165476,0.0,477559.8600226285,21,410291.68577945256,412316.90814604284,-0.14085809942231853,-0.1366173276654663,-0.13707710366587433,2.015913432281694,217,107,0.0030231265376930096,0.16231884994163298,0.05861240414741002,2025.2223665905208,3616444.7331810403,448487.1070440509,1808.22236659052,217.0,2456.0,8128.0,0.0,71.0,18.0,0.0,84,71.72212727268716,147.24508518916633,41.940101623535156,132.17001342773438,71.0,529.0,18.0,1146.0,52.0,548.0,12.5,1151.5,71.0,529.0,18.0,1146.0,2019.0,5.0,782.0,27.0,2567.0,11.0
231,0.7855116748914686,0.0,280067.4639176678,16,229009.58408648343,230101.42426766027,-0.18230564563613139,-0.17840715572979293,-0.1788419504665596,1.8396769930849117,156,78,0.003052646065084311,0.17847589390363675,0.07719294493338427,1091.840181176963,1871680.3623539256,254349.0473313128,935.8401811769628,156.0,1799.0,6265.0,0.0,33.0,29.0,0.0,58,86.23724488661523,124.71021114418828,57.01762771606445,114.88803100585938,33.0,234.0,29.0,632.0,21.25,245.75,18.75,642.25,33.0,234.0,29.0,632.0,1532.0,4.0,414.0,8.0,1882.0,10.0
232,0.8125464297030576,0.0,15489.096528137725,29,14006.069030331531,14391.904228397589,-0.09574654629546042,-0.07083642985547678,-0.07260277362111289,2.452694365861045,312,136,0.006454331770169763,0.16950104161050117,0.043713096311657346,385.83519806606824,147670.39613213693,15051.854624403602,73.83519806606847,312.0,4142.0,10421.0,0.0,111.0,36.0,0.0,129,77.1644503229976,147.9123988349185,50.0,132.0401611328125,111.0,1205.0,36.0,2380.0,72.25,1243.75,26.0,2390.0,111.0,1205.0,36.0,2380.0,2504.0,9.0,1267.0,33.0,2452.0,9.0
233,0.917370169405815,0.0,21668.672894424846,5,18241.209605504915,18355.963985323786,-0.1581759670109648,-0.15288010139067587,-0.1537933461328087,1.825293393461392,43,21,0.0031493018644737957,0.20593276264741495,0.2687666554561094,114.75437981887879,143508.75963775758,19655.57429723873,71.75437981887879,43.0,320.0,2200.0,0.0,16.0,1.0,0.0,15,46.66205091260099,63.0,32.011634826660156,63.0,16.0,26.0,1.0,32.0,11.0,31.0,1.0,32.0,16.0,26.0,1.0,32.0,615.0,0.0,136.0,6.0,1053.0,0.0
234,0.7731018883871968,0.0,143864.11420477758,26,119473.98961221753,120368.84889070256,-0.16953584795887955,-0.16331567774178646,-0.16404029582658586,2.340402795299406,277,137,0.006182581660479444,0.17305956104421064,0.05210510370158503,894.8592784850719,1235718.5569701444,131998.49182500012,617.8592784850722,277.0,3075.0,10029.0,0.0,85.0,29.0,0.0,100,75.29462924206894,141.40008898405068,48.0,120.0,85.0,745.0,29.0,1741.0,58.5,771.5,23.75,1746.25,85.0,745.0,29.0,1741.0,2398.0,9.0,1052.0,25.0,3020.0,5.0
235,0.8639971819036424,0.0,63429.95840973487,26,50311.605612782456,50720.26917167707,-0.20681635501339202,-0.2003736019493777,-0.20122562493214857,1.616407557085775,227,113,0.0011775571236792904,0.17023689978258374,0.05153658315430213,408.6635588946382,363327.1177892772,56193.6122168843,181.6635588946386,227.0,2970.0,10134.0,0.0,70.0,18.0,0.0,73,89.41854246723439,169.60874749511328,61.5,185.49856567382812,70.0,516.0,18.0,1294.0,49.75,536.25,13.25,1298.75,70.0,516.0,18.0,1294.0,2643.0,4.0,1593.0,34.0,3364.0,5.0
236,0.8462875396735603,0.0,144431.24621272384,15,107515.9635056197,108025.10755494538,-0.2555906957469155,-0.2520655302257665,-0.25265511455176015,1.566934540090158,115,57,0.0021472047665064037,0.16949493498643095,0.09100430683493961,509.14404932567635,788288.0986513525,125769.1496490332,394.14404932567624,115.0,1264.0,6296.0,0.0,27.0,16.0,0.0,41,67.79651846574592,215.1635499715445,48.0,193.81597900390625,27.0,130.0,16.0,442.0,19.5,137.5,10.5,447.5,27.0,130.0,16.0,442.0,1555.0,4.0,375.0,7.0,1609.0,4.0
